楼栋,单元,房号
15栋,18,101
15栋,18,102
15栋,18,201
15栋,18,202
15栋,18,301
15栋,18,302
15栋,18,401
15栋,18,402
15栋,18,501
15栋,18,502
15栋,18,601
15栋,18,602
15栋,18,701
15栋,18,702
15栋,18,801
15栋,18,802
15栋,18,901
15栋,18,902
15栋,18,1001
15栋,18,1002
15栋,18,1101
15栋,18,1102
15栋,18,1201
15栋,18,1202
15栋,18,1301
15栋,18,1302
15栋,18,1401
15栋,18,1402
15栋,18,1501
15栋,18,1502
15栋,18,1601
15栋,18,1602
15栋,18,1701
15栋,18,1702
16栋,17,101
16栋,17,102
16栋,17,201
16栋,17,202
16栋,17,301
16栋,17,302
16栋,17,401
16栋,17,402
16栋,17,501
16栋,17,502
16栋,17,601
16栋,17,602
16栋,17,701
16栋,17,702
16栋,17,801
16栋,17,802
16栋,17,901
16栋,17,902
16栋,17,1001
16栋,17,1002
16栋,17,1101
16栋,17,1102
16栋,17,1201
16栋,17,1202
16栋,17,1301
16栋,17,1302
16栋,17,1401
16栋,17,1402
16栋,17,1501
16栋,17,1502
16栋,17,1601
16栋,17,1602
16栋,17,1701
16栋,17,1702
16栋,17,1801
16栋,17,1802
16栋,16,101
16栋,16,102
16栋,16,201
16栋,16,202
16栋,16,301
16栋,16,302
16栋,16,401
16栋,16,402
16栋,16,501
16栋,16,502
16栋,16,601
16栋,16,602
16栋,16,701
16栋,16,702
16栋,16,801
16栋,16,802
16栋,16,901
16栋,16,902
16栋,16,1001
16栋,16,1002
16栋,16,1101
16栋,16,1102
16栋,16,1201
16栋,16,1202
16栋,16,1301
16栋,16,1302
16栋,16,1401
16栋,16,1402
16栋,16,1501
16栋,16,1502
16栋,16,1601
16栋,16,1602
16栋,16,1701
16栋,16,1702
16栋,16,1801
16栋,16,1802
17栋,10,101
17栋,10,102
17栋,10,201
17栋,10,202
17栋,10,301
17栋,10,302
17栋,10,401
17栋,10,402
17栋,10,501
17栋,10,502
17栋,10,601
17栋,10,602
17栋,10,701
17栋,10,702
17栋,10,801
17栋,10,802
17栋,10,901
17栋,10,902
17栋,10,1001
17栋,10,1002
17栋,10,1101
17栋,10,1102
17栋,10,1201
17栋,10,1202
17栋,10,1301
17栋,10,1302
17栋,10,1401
17栋,10,1402
17栋,10,1501
17栋,10,1502
17栋,10,1601
17栋,10,1602
17栋,10,1701
17栋,10,1702
18栋,11,101
18栋,11,102
18栋,11,201
18栋,11,202
18栋,11,301
18栋,11,302
18栋,11,401
18栋,11,402
18栋,11,501
18栋,11,502
18栋,11,601
18栋,11,602
18栋,11,701
18栋,11,702
18栋,11,801
18栋,11,802
18栋,11,901
18栋,11,902
18栋,11,1001
18栋,11,1002
18栋,11,1101
18栋,11,1102
18栋,11,1201
18栋,11,1202
18栋,11,1301
18栋,11,1302
18栋,11,1401
18栋,11,1402
18栋,11,1501
18栋,11,1502
18栋,11,1601
18栋,11,1602
18栋,11,1701
18栋,11,1702
18栋,11,1801
18栋,11,1802
18栋,12,101
18栋,12,102
18栋,12,201
18栋,12,202
18栋,12,301
18栋,12,302
18栋,12,401
18栋,12,402
18栋,12,501
18栋,12,502
18栋,12,601
18栋,12,602
18栋,12,701
18栋,12,702
18栋,12,801
18栋,12,802
18栋,12,901
18栋,12,902
18栋,12,1001
18栋,12,1002
18栋,12,1101
18栋,12,1102
18栋,12,1201
18栋,12,1202
18栋,12,1301
18栋,12,1302
18栋,12,1401
18栋,12,1402
18栋,12,1501
18栋,12,1502
18栋,12,1601
18栋,12,1602
18栋,12,1701
18栋,12,1702
18栋,12,1801
18栋,12,1802
20栋,1,101
20栋,1,102
20栋,1,201
20栋,1,202
20栋,1,301
20栋,1,302
20栋,1,401
20栋,1,402
20栋,1,501
20栋,1,502
20栋,1,601
20栋,1,602
20栋,1,701
20栋,1,702
20栋,1,801
20栋,1,802
20栋,1,901
20栋,1,902
20栋,1,1001
20栋,1,1002
20栋,1,1101
20栋,1,1102
20栋,1,1201
20栋,1,1202
20栋,1,1301
20栋,1,1302
20栋,1,1401
20栋,1,1402
20栋,1,1501
20栋,1,1502
20栋,1,1601
20栋,1,1602
20栋,1,1701
20栋,1,1702
20栋,2,101
20栋,2,102
20栋,2,201
20栋,2,202
20栋,2,301
20栋,2,302
20栋,2,401
20栋,2,402
20栋,2,501
20栋,2,502
20栋,2,601
20栋,2,602
20栋,2,701
20栋,2,702
20栋,2,801
20栋,2,802
20栋,2,901
20栋,2,902
20栋,2,1001
20栋,2,1002
20栋,2,1101
20栋,2,1102
20栋,2,1201
20栋,2,1202
20栋,2,1301
20栋,2,1302
20栋,2,1401
20栋,2,1402
20栋,2,1501
20栋,2,1502
20栋,2,1601
20栋,2,1602
20栋,2,1701
20栋,2,1702
